SKU,name,price,discount,link,sales
SH001,معطف مبطن بغطاء رأس للفتيات,10.89,48,https://onclick.shein.com/th/Nu1zTzldjmo,150
SH002,فستان أنيق بتصميم هيبي طويل,14.18,32,https://onclick.shein.com/th/tahume76ityf,700
SH003,نظارات شمسية كلاسيكية للرجال,2.78,0,https://onclick.shein.com/th/xshuygip7ywh,380
SH004,حقيبة مستحضرات تجميل مقاومة للماء,3.0,17,https://onclick.shein.com/th/Sshuimjqft7,100
SH005,معطف رجالي كاجوال سادة,25.67,24,https://onclick.shein.com/th/Sshu8qqn60h,200
N001,طقم أواني وأوعية فاخرة,89.99,30,https://www.noon.com/saeom/N11200397A/p/,500
N002,ساعات ذكية بلوتوث متميزة,45.0,20,https://www.noon.com/sa-ar/N11200839A/p/,1200
SM 101,مكنسة كهربائية لاسلكية ABIR VC205,96.50,76,N/A,0
SM 102,مسجل فيديو للسيارة 70mai T800E,90.23,55,N/A,0
SM 103,مطحنة قهوة أوتوماتيكية,27.68,61,N/A,0
SM 104,ساعة هواوي الذكية GT 6/Pro,177.12,72,N/A,0
SM 105,سماعات T75 TWS,1.23,88,N/A,0
SM 106,سماعات X15 TWS,2.48,79,N/A,0
SM 107,كابل USB-C سريع 120 وات,0.99,76,N/A,0
SM 108,جهاز تنظيف الأسنان المائي H2ofloss,41.83,28,N/A,0
SM 109,شورت الجري الرجالي,8.37,40,N/A,0
SM 110,تي شيرت رياضي سريع الجفاف,3.38,75,N/A,0
SM 111,حقيبة خصر للجري,0.99,85,N/A,0
SM 112,مضخة ثدي كهربائية,25.53,62,N/A,0
SM 113,قلم 7 في 1,0.99,84,N/A,0
SM 114,فرشاة سيليكون للتنظيف,0.99,81,N/A,0
SM 115,سكين القلم الصغير,0.99,85,N/A,0
SM 116,منظم الكابلات,0.99,76,N/A,0
SM 117,شريط لاصق nano,0.99,72,N/A,0
SM 118,منشفة غسيل السيارات,0.99,86,N/A,0
SM 119,مكشطة اللسان,0.99,74,N/A,0
SM 120,قناع نوم ثلاثي الأبعاد,0.99,81,N/A,0
